,temp,yield
0,0.10391463857590444,1482.0
1,-0.06857324328135944,1.462419726382838
2,9.833333333333334,0.33934525
3,9.6,0.42593473
4,9.808333333333335,0.4117039000000001
5,9.966666666666667,0.4181562
6,10.758333333333333,0.39517015
7,9.816666666666668,0.53125405
8,10.15,0.37386972
9,10.55,0.42979184
10,10.358333333333333,0.41119128
11,10.066666666666665,0.36586896
12,10.175,0.48017552
13,9.766666666666667,0.55199873
14,11.074999999999998,0.6540701999999999
15,10.308333333333332,0.43386394
16,10.633333333333333,0.4280835
17,9.608333333333333,0.47987694
18,10.383333333333336,0.5165645000000001
19,10.575,0.4763465
20,11.1,0.45509997
21,10.625,0.5420894
22,10.383333333333333,0.29705176
23,11.141666666666667,0.51519483
24,10.066666666666665,0.50602835
25,10.124999999999998,0.5430005999999999
26,10.341666666666667,0.41749780000000003
27,9.933333333333332,0.56070346
28,10.191666666666668,0.4698069
29,10.341666666666667,0.4130755999999999
30,10.725,0.5438826
31,10.983333333333334,0.358358
32,11.983333333333334,0.6036329
33,10.183333333333332,0.46583095
34,10.625,0.42990008
35,10.058333333333334,0.28399935
36,9.933333333333334,0.265305
37,10.025,0.20913403
38,10.391666666666667,0.28965628
39,10.958333333333336,0.22874363
40,9.991666666666667,0.35416672
41,9.9,0.19027686
42,10.333333333333334,0.25261188
43,10.05,0.19946541
44,10.133333333333333,0.1976124
45,10.233333333333333,0.28466475
46,9.9,0.27793217
47,11.158333333333333,0.37283373
48,10.841666666666667,0.22415249
49,11.075,0.27833694
50,10.116666666666664,0.37260002
51,11.325000000000005,0.21280178
52,11.208333333333336,0.25692546
53,11.366666666666667,0.19768697
54,10.916666666666664,0.23535271
55,10.65,0.29020435
56,11.65,0.2526796
57,10.816666666666668,0.3224764
58,10.458333333333334,0.38129961
59,10.65,0.31808066
60,10.333333333333334,0.36911258
61,10.133333333333336,0.31143764
62,10.433333333333332,0.31030786
63,10.45,0.3506229
64,10.8,0.3271057
65,12.133333333333333,0.4125107
66,10.266666666666666,0.39056462
67,10.558333333333334,0.34257454
68,11.075,0.4115727
69,10.891666666666667,0.5450752
70,11.025,0.41750523
71,11.316666666666668,0.5508773
72,12.175,0.3364448
73,11.241666666666667,0.6555785
74,11.275,0.4786193
75,11.375,0.4470689000000001
76,11.358333333333333,0.48472170000000003
77,11.341666666666667,0.42849755
78,11.499999999999998,0.54143006
79,10.933333333333332,0.5915503000000001
80,12.325000000000005,0.944384
81,11.933333333333332,0.45148367
82,11.924999999999995,0.37522477
83,11.108333333333333,0.6299182
84,12.216666666666667,0.66148484
85,12.225,0.48994216
86,12.525,0.51443356
87,12.2,0.67826927
88,12.025,0.26137742
89,12.641666666666666,0.55627656
90,11.825000000000005,0.49985057
91,11.916666666666664,0.6467925999999999
92,12.333333333333336,0.3997013
93,11.608333333333334,0.6460505
94,12.058333333333332,0.35319743
95,12.158333333333333,0.39489475
96,12.433333333333335,0.71528685
97,11.4,0.78898716
98,11.241666666666667,1.0147146999999999
99,11.35,0.7978607
100,11.591666666666667,0.92361885
101,12.441666666666668,0.686135
102,11.575,1.0327355
103,11.566666666666668,0.8714158999999999
104,11.741666666666667,0.66531295
105,11.783333333333333,0.99101824
106,11.683333333333332,0.87949836
107,11.841666666666667,0.9572003000000001
108,11.225,1.0253736
109,12.575,1.1142093000000002
110,12.141666666666667,0.74089116
111,12.033333333333333,0.7532203000000001
112,11.233333333333334,1.0301689
113,12.708333333333336,1.0953532
114,12.575,0.9886647
115,12.883333333333335,0.8859235999999999
116,12.508333333333333,0.9268221
117,12.291666666666664,0.64119965
118,12.9,0.9332113999999999
119,12.016666666666667,1.0605638000000002
120,12.2,1.1230735
121,12.6,0.7286495
122,12.08333333333333,0.96951646
123,12.258333333333333,0.86426187
124,12.25,0.93945444
125,12.6,1.3471558000000001
126,12.825,1.0144266
127,13.875,1.0099139000000001
128,12.091666666666667,1.0805083999999998
129,12.408333333333333,1.0020014000000002
130,11.258333333333335,0.1783745
131,11.5,0.19576162
132,11.35,0.2142244
133,11.4,0.18614343
134,12.141666666666667,0.2102221
135,10.791666666666664,0.19410028
136,12.041666666666664,0.20771725
137,12.541666666666664,0.21270119
138,12.08333333333333,0.2009391
139,11.316666666666668,0.17622349999999998
140,11.291666666666664,0.19409487
141,11.6,0.17331955
142,12.416666666666664,0.20676108
143,12.45,0.18388477
144,12.583333333333336,0.26115462
145,11.65,0.21457978
146,12.308333333333335,0.2641396
147,12.65,0.23209970000000002
148,12.733333333333334,0.1962908
149,12.258333333333333,0.24280982
150,13.033333333333333,0.25931704
151,11.833333333333336,0.21537963
152,12.358333333333334,0.22219437
153,12.283333333333333,0.26261806
154,12.066666666666665,0.20900202
155,11.05833333333333,0.2140944
156,11.383333333333333,0.24621056
157,11.374999999999998,0.21542776
158,11.091666666666667,0.21845275
159,11.316666666666668,0.26877266
160,11.383333333333335,0.2927198
161,11.508333333333333,0.26787704
162,11.416666666666664,0.25196669
163,10.841666666666665,0.2723575
164,11.266666666666666,0.22664681
165,11.95833333333333,0.29062059999999995
166,11.158333333333333,0.27396774
167,10.866666666666665,0.23161153
168,11.1,0.40303397
169,11.291666666666664,0.33050486
170,12.108333333333333,0.34791777
171,12.008333333333333,0.24005124
172,12.516666666666666,0.31403124
173,11.808333333333332,0.28670114
174,11.908333333333333,0.28575534
175,11.841666666666667,0.3717823
176,12.741666666666667,0.30113825
177,12.55,0.35016254
178,11.950000000000005,0.28724462
179,12.699999999999998,0.34260395
180,12.166666666666664,0.40819794
181,12.941666666666665,0.30339584
