,temp,yield
0,0.06292516323541764,68.0
1,0.058860842157786336,3.5879988447305524
2,5.266666666666667,3.4222949999999996
3,4.508333333333334,3.6950455
4,5.274999999999999,3.5526910000000003
5,5.108333333333333,3.5830230000000003
6,4.250000000000001,3.7723467000000004
7,4.658333333333333,3.6303775000000003
8,4.9750000000000005,4.1777163
9,4.816666666666666,3.31915
10,3.9499999999999993,3.7608626000000003
11,5.916666666666668,4.1200733
12,5.45,3.8340318
13,4.133333333333334,3.5628216
14,4.2250000000000005,3.9129370000000003
15,4.249999999999999,4.034287
16,4.900000000000001,4.5828885999999995
17,4.583333333333333,3.9433997000000014
18,4.0,4.0970716
19,6.383333333333333,4.1692953
20,6.0166666666666675,4.387554
21,4.525,3.8360781999999998
22,5.666666666666668,2.414576
23,5.45,3.4888
24,4.491666666666667,3.2489874
25,4.458333333333334,4.1977787000000015
26,5.4499999999999975,4.065624
27,6.458333333333332,4.231369
28,4.5,3.648286
29,5.341666666666666,3.7803297
30,4.766666666666667,3.5351052000000003
31,6.316666666666666,4.0360036
32,5.833333333333335,3.8993857000000003
33,6.583333333333332,4.1071515
34,5.283333333333334,3.902048
35,4.883333333333334,3.919172
36,5.1083333333333325,3.8507843
37,4.316666666666666,3.7073684
38,5.0,3.668996
39,4.833333333333333,3.6670233999999997
40,4.125,3.8645136
41,4.4,3.8498452000000003
42,4.766666666666667,4.329457
43,4.7250000000000005,3.4719758
44,3.7916666666666665,3.9399943
45,5.6999999999999975,4.1229906000000005
46,5.433333333333333,4.0467067000000005
47,3.916666666666666,3.7818072
48,4.216666666666665,4.0767097
49,4.283333333333333,4.220783
50,4.841666666666667,4.7760334
51,4.366666666666667,4.015029
52,3.958333333333334,4.2563677
53,6.308333333333333,4.313256
54,5.666666666666668,4.5618334
55,4.216666666666667,3.9568867999999995
56,5.766666666666668,2.5150783
57,5.400000000000001,3.597464
58,4.708333333333333,3.3372614
59,4.408333333333332,4.3770394
60,5.45,4.2265196
61,6.283333333333334,4.3445816
62,4.733333333333333,3.7910671000000002
63,5.491666666666666,3.9327872000000004
64,4.9750000000000005,3.7235723
65,6.750000000000001,4.141529
66,6.208333333333332,4.08512
67,6.850000000000001,4.175372
68,5.583333333333332,4.1288276
69,4.983333333333333,3.9637482000000004
