,temp,yield
0,-0.026245078773839525,62.0
1,-0.23470101275603059,10.055934403220041
2,7.241666666666666,7.2722797
3,7.999999999999999,7.890813400000001
4,7.933333333333334,7.4546595
5,7.6916666666666655,7.7078996
6,7.525000000000001,7.4041524
7,7.6416666666666675,7.4544463000000025
8,7.333333333333332,6.3654847000000006
9,7.0500000000000025,7.2423224
10,8.783333333333333,7.619292
11,8.183333333333332,7.5978136
12,6.216666666666666,8.1652155
13,6.65,7.5002831999999975
14,7.041666666666665,6.883953599999999
15,6.783333333333331,7.0299710000000015
16,7.483333333333332,8.136872
17,6.833333333333332,7.671447
18,8.758333333333335,8.720694
19,8.383333333333335,9.100226
20,7.208333333333332,7.5172862999999985
21,8.225,7.7312145
22,8.049999999999999,7.7293334000000025
23,6.783333333333332,7.8497834000000015
24,7.400000000000001,9.070372
25,7.7666666666666675,7.686043
26,8.608333333333333,7.423338
27,7.416666666666668,7.9981837
28,7.908333333333332,8.909208
29,7.466666666666666,9.012697
30,8.35,9.048264999999999
31,8.391666666666666,8.781572
32,9.425,9.015531
33,7.7,8.838623
34,7.2,8.968784
35,5.8583333333333325,8.001713
36,6.558333333333335,9.060099000000001
37,6.258333333333334,8.428991
38,6.191666666666666,8.936244
39,6.408333333333332,8.557532
40,6.366666666666666,8.689544999999999
41,6.091666666666666,7.4202766
42,5.8916666666666675,8.667008000000001
43,7.633333333333334,8.80965
44,7.466666666666668,8.414193
45,5.516666666666668,9.527944999999999
46,5.708333333333332,8.614307
47,5.8,7.7893558
48,6.208333333333332,7.8614826
49,5.5166666666666675,9.691507000000001
50,5.758333333333334,9.013856
51,7.650000000000001,9.825223
52,7.45,10.368095
53,6.166666666666668,9.069560000000001
54,7.041666666666668,8.81655
55,6.7666666666666675,8.989616
56,5.833333333333332,8.945682000000003
57,6.1083333333333325,10.498219
58,6.524999999999999,8.825451
59,7.408333333333335,9.422975
60,6.366666666666666,8.983981
61,6.558333333333334,9.889535
62,5.933333333333333,10.584214
63,7.341666666666665,9.447817
