PMID
34486834
34486716
34484706
34481438
34479340
34472447
34472441
34470194
34468617
34468597
34466191
34465061
34465056
34463994
34461964
34461962
34459783
34459782
34459275
34458162
34457119
34453806
34453792
34452969
34451002
34450104
34449853
34449057
34448954
34448786
34447225
34446500
34446488
34446235
34445976
34445974
34445843
34445700
34445670
34445619
34445556
34445532
34445414
34445373
34445368
34445329
34445238
34444990
34444795
34444561
34444511
34444482
34444472
34444434
34444392
34444386
34444371
34444333
34444327
34444316
34444219
34444180
34444084
34444055
34444046
34444014
34441038
34441034
34440989
34440972
34438492
34437664
34437662
34436982
34435559
34433477
34433385
34431426
34431019
34429302
34429299
34428204
34428097
34427779
34427260
34427254
34427072
34427063
34426461
34425807
34425662
34424421
34424418
34423761
34423408
34423407
34422736
34422683
34422190
34422189
34420994
34420993
34420917
34420515
34420282
34419143
34419084
34418892
34417237
34416933
34416863
34416856
34415962
34415896
34415266
34415246
34414982
34414973
34414971
34414930
34414880
34412732
34412709
34412682
34411171
34411112
34410538
34410530
34410515
34410064
34409003
34408856
34408855
34408853
34408749
34408058
34408032
34407861
34407759
34407747
34406802
34406461
34406425
34406303
34406301
34406299
34406260
34406258
34405794
34405779
34405778
34405220
34404718
34404701
34404691
34404358
34404266
34404076
34404066
34404065
34404064
34402477
34400893
34400735
34400495
34400459
34399949
34399729
34399542
34398560
34398310
34398101
34398036
34398032
34397900
34397897
34397864
34397863
34397799
34397741
34397701
34397691
34394132
34394121
34392930
34392913
34392681
34392641
34391551
34391465
34391037
34389590
34389087
34389034
34388322
34388240
34387701
34386829
34386470
34386212
34386211
34386210
34386209
34385253
34385251
34385230
34385220
34385203
34385202
34385163
34384351
34384258
34383735
34383284
34383283
34382596
34382595
34382551
34380668
34380497
34380494
34379700
34378743
34378510
34376971
34376598
34376550
34376441
34376437
34376146
34375047
34373739
34373673
34373540
34373261
34373119
34372900
34372884
34372862
34372794
34372656
34372603
34372575
34372552
34372506
34372498
34372350
34371844
34371366
34370240
34370235
34369712
34369128
34368043
34367190
34367154
34367067
34367059
34366663
34366621
34366609
34365148
34364972
34364396
34363367
34362946
34362539
34362368
