state,latitude,longitude,yield_1981,yield_1982,yield_1983,yield_1984,yield_1985,yield_1986,yield_1987,yield_1988,yield_1989,yield_1990,yield_1991,yield_1992,yield_1993,yield_1994,yield_1995,yield_1996,yield_1997,yield_1998,yield_1999,yield_2000,yield_2001,yield_2002,yield_2003,yield_2004,yield_2005,yield_2006,yield_2007,yield_2008,yield_2009,yield_2010,yield_2011,yield_2012,yield_2013,yield_2014,average_temp_1981,average_temp_1982,average_temp_1983,average_temp_1984,average_temp_1985,average_temp_1986,average_temp_1987,average_temp_1988,average_temp_1989,average_temp_1990,average_temp_1991,average_temp_1992,average_temp_1993,average_temp_1994,average_temp_1995,average_temp_1996,average_temp_1997,average_temp_1998,average_temp_1999,average_temp_2000,average_temp_2001,average_temp_2002,average_temp_2003,average_temp_2004,average_temp_2005,average_temp_2006,average_temp_2007,average_temp_2008,average_temp_2009,average_temp_2010,average_temp_2011,average_temp_2012,average_temp_2013,average_temp_2014
Alabama,32.67307692307692,-86.74230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.009102564102562,17.7024358974359,16.457307692307694,17.362564102564104,17.40012820512821,18.069871794871798,17.3974358974359,16.924871794871795,17.01102564102564,18.522948717948715,17.921923076923076,16.891153846153845,16.98935897435897,17.385384615384616,17.36551282051282,16.868717948717947,17.016666666666666,18.480256410256406,17.93076923076923,17.636666666666667,17.386923076923075,17.667820512820512,17.205769230769235,17.47,17.542564102564103,18.00384615384616,18.094358974358975,17.2375641025641,17.26282051282051,17.0874358974359,17.745384615384616,18.352051282051285,17.09012820512821,16.768205128205132
Arizona,34.25,-112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.09659090909091,15.632765151515148,15.93453282828283,16.042171717171716,16.09532828282828,16.622727272727275,16.004166666666666,16.425189393939394,16.987121212121206,16.14703282828283,15.912058080808078,16.11628787878788,16.230303030303027,16.60486111111111,16.842613636363637,17.314141414141414,16.572411616161617,15.804924242424242,16.626830808080808,17.120138888888892,16.87563131313131,16.854545454545455,17.2530303030303,16.4635101010101,16.827398989898988,16.78080808080808,17.017739898989895,16.521212121212123,16.771401515151513,16.30296717171717,16.211553030303033,17.208901515151517,16.291729797979798,17.364078282828288
Arkansas,34.75,-92.0,1.0772099828571429,5.43720372,5.596348277142856,5.65272728,6.316266974285713,6.5125063,6.412528917142856,6.139918211428572,6.445415939999999,6.423817267142857,6.471950010000001,6.395662018571429,6.128060007142857,6.590997872857143,6.241131042857142,6.899888852857143,6.669413772857141,6.4607649971428565,6.681310182857142,6.886262095714286,7.194454364285714,7.401643419999998,7.4796632714285725,7.810751960000001,7.459605787142857,7.807085685714285,7.666983504285713,7.653024164285713,8.095213597142854,7.250696505714287,6.561946968571429,6.649618838571428,7.123531077142857,7.02878184,16.10940476190476,16.015833333333333,15.395357142857145,16.03892857142857,15.90285714285714,16.813928571428573,16.528928571428573,15.832380952380952,15.354642857142858,16.94928571428571,16.5777380952381,15.743333333333332,15.439285714285711,16.057380952380953,16.08607142857143,15.610357142857149,15.604761904761904,17.487023809523805,16.913571428571426,16.230833333333333,16.33047619047619,15.990952380952375,15.793214285714283,16.231190476190477,16.718928571428563,16.765476190476193,16.740357142857142,15.621309523809526,15.687142857142856,16.32928571428572,16.655714285714286,17.597857142857144,15.482619047619048,14.93988095238095
California,38.19839857651245,-118.4991103202847,0.043574967259786476,0.4724002391459075,0.49458752953736657,0.4892634747330961,0.5212525192170818,0.5702885868327402,0.5358693957295374,0.5319051665480427,0.6194888572953737,0.543021837366548,0.5992842419928825,0.5364774188612099,0.5850864231316727,0.6099691131672599,0.5425571145907474,0.6027514900355873,0.585944209252669,0.564801284341637,0.5385898562277581,0.6279898722419929,0.5924703444839857,0.6501280206405694,0.6747022544483986,0.6718666434163701,0.6201303676156584,0.6732914060498222,0.701101840569395,0.6497238135231316,0.6843188067615658,0.6538322832740213,0.54020841886121,0.5261750754448398,0.5678964829181494,0.5366753704626335,12.867734282325028,11.031316725978648,11.769750889679717,11.804211150652431,11.429151838671414,12.582710557532621,12.160735468564651,12.311239620403322,11.914205219454331,11.81379003558719,11.86032028469751,12.586832740213524,11.412010676156582,12.011981020166074,12.343653618030842,12.699051008303677,12.274436536180307,11.170225385527875,11.865421115065244,12.329389086595492,12.448042704626335,12.201334519572953,12.70732502965599,12.228321470937127,12.099139976275207,12.148576512455517,12.37144128113879,12.099199288256228,12.066043890865956,11.616459074733095,11.407799525504151,12.736061684460262,12.213167259786477,13.479478054567023
Colorado,39.0,-105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.513541666666667,6.831994047619048,6.955803571428571,6.512574404761905,6.727380952380953,7.879017857142857,7.304017857142858,7.192931547619048,7.233928571428573,7.336904761904762,7.034300595238095,7.1031249999999995,6.318303571428572,7.794940476190476,7.338020833333333,7.412946428571429,6.847693452380952,7.621800595238095,7.851488095238096,8.043154761904761,7.963095238095238,7.572619047619049,8.11547619047619,7.452232142857143,7.987723214285714,7.836979166666667,7.620238095238095,6.9584077380952385,7.080208333333333,7.576041666666667,7.156101190476191,8.771949404761905,7.02797619047619,7.561160714285714
Connecticut,41.625,-72.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.595833333333333,9.31875,10.154166666666669,9.827083333333333,9.68125,9.622916666666665,9.777083333333334,9.55,9.285416666666666,10.922916666666666,10.920833333333333,9.03125,9.489583333333334,9.45625,9.470833333333333,9.3125,9.506250000000001,11.070833333333333,10.704166666666666,9.458333333333332,10.445833333333333,10.533333333333333,9.21875,9.595833333333333,9.914583333333335,10.833333333333334,10.006250000000001,10.072916666666666,9.529166666666667,10.968750000000002,10.629166666666666,11.470833333333331,10.0,9.345833333333333
Delaware,39.25,-75.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.421666666666667,12.636666666666667,13.086666666666668,12.908333333333331,13.265,13.199999999999998,13.118333333333334,12.613333333333333,12.581666666666667,14.209999999999999,14.096666666666668,12.434999999999999,12.926666666666666,12.985000000000003,13.12,12.396666666666667,12.938333333333336,14.183333333333334,13.591666666666665,12.583333333333332,13.281666666666666,13.875,12.330000000000002,12.953333333333333,12.99666666666667,13.88,13.216666666666669,13.233333333333334,12.753333333333334,13.436666666666667,13.796666666666667,14.273333333333335,12.873333333333335,12.31
Florida,28.580188679245282,-82.02358490566037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.100314465408808,22.342138364779878,21.101886792452827,21.43867924528302,21.88443396226415,22.258018867924527,21.447169811320755,21.223899371069177,21.925157232704397,22.783018867924525,22.399213836477983,21.463679245283025,21.53584905660377,22.219968553459115,21.746226415094345,21.25707547169811,21.96336477987421,22.621069182389935,21.9059748427673,21.4627358490566,21.72327044025157,22.00676100628931,21.741509433962264,21.66745283018868,21.676572327044024,21.94009433962264,22.161792452830184,21.654402515723273,21.854245283018866,20.747012578616353,22.11918238993711,22.156446540880506,22.01572327044025,21.577358490566034
Georgia,33.04838709677419,-83.05645161290323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.85,17.68844086021505,16.66706989247312,17.419354838709673,17.686155913978492,18.351747311827957,17.351478494623652,16.83266129032258,17.263575268817206,18.649327956989247,17.995967741935488,16.986021505376343,17.3236559139785,17.403629032258063,17.318279569892475,16.8375,17.047446236559143,18.381720430107528,17.677822580645163,17.03534946236559,17.34704301075269,17.60134408602151,17.04744623655914,17.449865591397852,17.387634408602153,17.79059139784946,17.94596774193549,17.243817204301077,17.15981182795699,17.00403225806452,17.974865591397844,18.336424731182795,17.160618279569892,17.051209677419354
Idaho,45.5,-114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.118551587301588,4.162103174603175,5.198065476190477,4.390525793650793,3.531746031746031,5.800396825396825,6.091121031746032,5.909771825396826,4.819196428571429,5.295486111111111,5.27281746031746,6.0247519841269845,3.836011904761905,5.714682539682539,5.157986111111111,4.59280753968254,5.028918650793651,5.814087301587302,5.504662698412699,5.399305555555555,5.742906746031746,4.895486111111111,6.199553571428572,5.734821428571429,5.411111111111111,5.857043650793651,6.1,4.835069444444445,4.919295634920634,5.196676587301587,4.768799603174603,6.22063492063492,5.522371031746032,5.831994047619048
